

1544015711.178833325  Node Startup
1544016102.616140239 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016103.116176706 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016103.616203432 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016104.116108089 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016104.616126093 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016105.116208277 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016105.616220434 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016106.116177609 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016106.616206277 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016107.116238014 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016107.616141816 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016108.116149743 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016108.616137549 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016109.116072722 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016109.267175381 INFO [/tmp/binarydeb/ros-kinetic-rviz-1.12.16/src/rviz/ogre_helpers/render_system.cpp:430(RenderWindow* rviz::RenderSystem::makeRenderWindow) [topics: /rosout] Stereo is NOT SUPPORTED
1544016109.267247165 INFO [/tmp/binarydeb/ros-kinetic-rviz-1.12.16/src/rviz/ogre_helpers/render_system.cpp:211(RenderSystem::detectGlVersion) [topics: /rosout] OpenGl version: 3 (GLSL 1.3).
1544016109.616072276 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016110.116104945 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016110.616160737 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016111.116073935 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016111.616070951 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016112.116077160 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016112.616069857 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016113.116086082 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016113.616081971 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016114.116072983 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016114.616076304 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016115.116080663 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016115.616070218 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016116.116103820 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016116.616075082 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016117.116070553 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016117.616079321 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016118.116071003 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016118.616069027 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016119.116077846 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016119.616072928 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016120.116068240 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016120.616075691 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016121.116076204 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016121.616065522 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016122.116103908 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016122.616091329 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
1544016123.116125626 INFO [/home/faps/catkin_ws/src/uebung3_tf/src/transform_broadcaster_node.cpp:22(main) [topics: /rosout, /tf] HRY
